bedroom,area,bath,balcony,price
8,1200,7,0,235
3,3329,3,2,330
3,850,3,2,95
5,2700,5,0,158
4,3600,4,,300
5,4050,5,2,140
3,750,2,1,75
3,2500,3,2,135
2,650,2,0,28
2,1200,2,0,90
1,700,1,0,150
5,900,4,0,90
2,1200,2,1,65
5,2280,5,,200
4,1600,3,1,172
4,2000,3,1,166
2,1420,1,0,220
4,810,4,1,50
9,750,8,,150
7,1200,6,2,195
4,1200,4,2,105
3,600,3,2,75
2,1500,2,1,60
4,2400,3,,200
5,3356,5,2,105
4,3750,4,0,210
5,3680,4,2,440
4,2863,4,1,140
3,2710,3,1,251
2,3040,1,1,180
5,400,5,1,200
3,1808,4,2,80.27
4,3850,6,3,195
7,925,7,3,88
6,3770,6,3,110
4,1200,4,2,72
5,8000,5,,500
9,2550,9,0,360
4,1200,5,2,110
4,1550,4,2,130
3,2572,3,3,390
3,1600,2,0,80
3,1600,3,2,75
3,1000,4,3,66
3,600,3,2,75
6,600,4,0,60
3,2400,3,0,160
2,1200,3,1,72
3,1168,3,0,70
4,2100,4,,155
4,817,2,1,120
4,1200,4,2,245
5,1800,6,0,44.5
6,1200,4,1,135
5,3250,5,3,900
5,2400,4,1,300
3,1375,3,0,57
4,1200,4,2,215
3,1200,3,1,125
1,540,1,0,30
7,2800,7,2,125
4,2200,4,3,235
3,1500Sq. Meter,3,1,95
2,1200,2,1,120
4,1700,2,1,550
4,2400,3,2,142
10,750,10,,90
3,1200,3,2,68.5
5,2400,5,1,625
4,2028,4,3,162
3,2611,3,1,239
4,4000,4,2,330
8,1320,6,2,200
3,1500,3,1,160
11,1200,11,0,170
6,727,6,2,66
4,1200,2,1,150
2,1200,2,0,65
4,2800,4,2,240
10,1660,10,,475
4,712,2,1,67.5
2,1200,2,0,70
2,1800,1,1,128
3,1650,4,,160
5,1200,4,2,285
3,1574Sq. Yards,3,1,76
7,1400,6,3,200
2,1200,2,1,125
3,675,3,2,72.5
3,600,3,1,100
2,1300,2,0,120
2,1200,2,2,150
5,1350,4,1,130
3,600,2,1,60
4,2100,2,1,50
2,1350,2,1,80
4,1800,3,1,220
3,2000,3,1,100
5,5800,7,,1200
3,682,2,1,130
2,1200,2,0,95
2,900,2,0,55
4,1632,3,0,145
4,1200,4,,130
3,52272,2,1,140
4,1204,4,1,125
2,1200,2,0,67
2,680,2,0,42
2,2400,2,1,95
4,3450,4,3,294
4,1200,4,1,83
2,1200,3,0,70
4,3042,4,0,131
9,1200,9,3,120
6,930,6,1,135
3,600,2,0,100
2,1050,2,0,110
4,1320,2,1,110
4,3500,6,2,225
8,1200,12,,110
3,1200,3,1,95
3,1260,5,1,185
8,990,12,0,120
3,800,2,1,80
4,1080,4,2,250
4,1500,2,2,93
7,2460,7,1,350
2,800,1,0,50
3,1900,3,1,135
4,3555,4,1,230
2,585,1,0,70
7,6150,6,1,830
7,4400,9,,120
6,2400,4,2,280
3,1158,2,2,85
2,1350,1,0,100
4,1200,4,0,120
2,500,2,1,70
2,432,2,1,40
3,1350,3,3,195
4,2400,5,2,350
5,1200,4,1,70
3,1200,2,0,150
2,1350,2,1,185
4,1700,4,1,152
3,1200,2,0,66
5,9600,5,2,550
4,1450,3,3,132
4,1200,4,,245
2,1090,2,0,58
4,2000,4,1,139
4,4800,4,3,190
4,2800,3,2,500
3,1200,2,0,66
4,2400,5,,329
4,2168,4,2,95
8,1200,8,3,90
3,3800,3,0,580
9,3125,9,,350
3,720,3,3,65
8,1200,8,2,190
6,1200,5,2,240
4,1140,4,1,90
8,1500,10,3,165
3,1800,3,2,68
4,1350,4,1,200
4,1200,4,0,75
3,3000,3,0,338
5,1200,6,,137
4,1470,4,2,34.5
3,1200,2,0,66.5
4,2800,4,2,89
2,3000,2,0,510
6,2400,7,2,110
2,1200,2,0,80
2,1200,2,2,125
2,1200,2,1,66
1,1050,1,1,70
3,1200,2,0,80
4,4800,3,3,302
3,2400,4,1,130
2,600,2,1,36.5
4,3200,4,2,1200
5,1500,5,,85
1,540,1,0,36
3,1865,3,3,350
4,3000,4,0,200
6,1800,4,,324
2,900,2,0,64
4,750,4,3,110
4,600,4,1,40
5,1575,4,0,150
4,4800,5,3,629
2,1200,2,1,58.5
5,1200,4,1,100
4,2400,4,2,450
4,2400,4,1,240
4,1920,4,2,200
5,6040,4,,170
3,2040,3,2,137
4,1200,4,2,145
4,600,2,1,100
2,2200,2,0,62
4,800,4,0,120
5,3000,6,3,1000
3,600,2,1,80
4,3300,4,0,150
1,800,1,1,100
2,1000,2,0,64
2,1200,1,1,36
4,3750,6,3,290
4,2000,3,2,25
4,1800,4,2,145
4,3400,3,1,210
6,2400,8,2,650
5,2400,5,1,415
3,600,2,1,110
3,1200,3,2,56.2
5,1440,5,1,110
7,700,6,,85
2,1200,2,0,67
6,1230,4,1,210
4,600,4,0,95
3,1200,3,3,225
2,1200,2,2,83
1,600,1,0,97.5
5,1200,4,1,85
3,600,4,3,72
4,800,4,2,120
3,1100,3,1,78
6,3500,5,0,160
5,2400,5,2,160
4,4000,4,3,170
7,1500,9,2,250
3,1870,3,1,200
4,1500,5,1,230
3,1550,2,1,150
3,1200,3,1,74
1,600,1,0,32
4,900,4,3,175
4,2400,3,2,370
4,30000,4,,2100
4,3190,3,1,160
3,800,2,1,75
3,600,3,2,100
7,3000,4,2,900
4,450,3,1,53
2,1600,2,2,110
4,750,2,0,110
4,2400,4,,700
3,3297,3,1,135
3,600,2,0,30
3,3000,2,2,120
4,3200,4,1,205
3,1550,3,1,120
3,1200,2,0,65
3,3515,3,1,420
4,3500,5,3,150
3,950,3,1,80
7,600,7,,108
4,600,5,2,75
3,680,4,1,68
4,1200,4,3,195
4,2200,4,2,195
4,1500,5,3,220
5,600,5,,50
2,1200,1,0,53
7,2400,7,3,355
4,800,4,,110
3,1500,3,2,97
6,800,6,3,98
4,4200,4,2,255
2,1200,2,0,55
4,1152,4,1,230
4,5000,5,2,395
6,810,5,2,95
2,1550,2,1,71
9,1200,9,2,100
9,6200,9,0,200
3,3000,3,0,250
3,680,4,1,68
1,1260,1,0,41
1,1500,1,0,37.5
2,900,2,0,55
9,1200,6,3,280
4,1500,2,1,450
4,525,5,2,56
1,812,1,0,26
6,1060,6,3,110
3,1272,4,0,75
5,1600,5,2,140
4,1200,3,2,188
7,7500,7,2,400
3,2400,4,2,325
4,1125,2,1,88
3,600,3,1,83
4,2540,4,1,115
3,600,3,1,98
3,1000,3,0,140
4,1670,3,0,135
3,1200,3,1,90
4,1200,4,1,120
7,1600,7,1,104
9,1500,6,1,80
4,2500,4,1,150
7,780,7,3,150
2,1300,2,0,54
5,600,3,1,86
3,2400,3,2,290
2,1350,2,0,90
5,1600,5,3,140
3,3010,3,2,200
3,1330,4,1,140
2,1200,2,0,130
5,2350,2,0,423
5,800,5,2,98
1,800,1,0,52
4,4000,5,1,280
4,4000,5,1,150
4,1080,4,1,75
5,1100,4,3,150
5,5530,5,3,627
2,792,2,1,70
7,600,7,3,89
5,2400,5,2,235
4,600,4,1,81
3,1500,2,1,200
1,461.82,1,1,31.7
3,1500,2,0,85
4,1800,4,,110
5,1350,3,1,110
5,1320,5,2,199
6,1222,5,3,250
8,1200,7,1,110
5,1200,5,0,195
6,1500,7,3,220
3,1000,4,3,110
4,2000,3,0,95
5,1200,4,3,240
4,2400,5,2,253
3,1950,3,2,130
4,5400,4,3,725
3,1200,2,0,62
4,3600,3,2,410
3,1200,3,2,175
4,600,2,1,85
4,4051,4,3,345
4,5500,5,1,1500
4,1200,4,2,350
7,1000,7,3,160
4,2000,4,2,82
7,4800,7,0,170
4,3000,4,3,342
6,2400,6,,245
5,3040Sq. Meter,5,1,140
5,2400,5,,250
2,1200,2,1,46.13
2,1375,2,1,105
4,3640,4,1,275
3,1200,3,0,200
4,1000,4,1,75
2,1500,3,1,65
2,1200,2,0,66
4,600,2,2,90
5,2800,5,2,125
4,500Sq. Yards,4,2,378
4,2700,4,2,130
3,1200,3,2,70
5,2043,6,,375
4,4346,4,1,450
6,1200,4,2,110
3,2779,3,1,317
3,2600,3,2,200
6,3800,8,0,200
3,1500,2,1,120
3,440,3,0,50
4,3385,4,,260
3,1500,3,1,71.8
4,4200,4,3,325
3,1200,3,2,78
5,600,5,,50
2,1200,2,1,67
6,1200,5,1,150
6,1200,7,,170
4,2700,3,2,68
5,1270,4,1,128
2,1380,2,0,225
4,1200,3,1,95
2,1200,2,1,58
6,600,7,2,63
2,1200,2,0,79
6,2480,4,1,750
5,2400,5,3,100
4,1584,3,2,145
5,1200,4,1,140
3,1350,3,1,380
4,4000,5,2,600
2,1100,2,0,68
6,2400,6,0,130
4,700,4,2,110
3,2200,3,2,130
2,1500,1,0,160
6,2100,6,,275
4,1575,5,1,158
4,3250,4,1,180
1,1380,1,1,62.1
5,1200,5,1,185
3,2400,3,2,149
7,1200,7,2,225
1,1260,1,1,41
2,1200,2,1,216
2,1200,2,1,125
10,1200,10,,105
2,1200,2,1,130
3,1616,3,0,95
8,1200,7,2,350
4,1270,2,1,175
3,1200,2,1,98
1,700,1,1,162
3,1200,3,2,130
5,750,4,0,62
1,500,1,0,70
5,3250,5,0,290
4,1200,4,1,150
3,2400,3,3,85
3,832,3,1,77
3,3259,3,0,270
4,1196,3,1,150
6,1200,6,2,170
2,1350,2,1,100
6,4200,6,0,180
4,1200,4,3,110
3,675,2,0,148
4,4428,4,2,255
3,3500,5,0,275
4,2400,4,1,130
3,1200,3,1,67.75
4,2700,6,,675
4,1350,4,2,145
1,900,1,0,175
7,2400,5,1,550
4,4800,4,0,700
3,1200,3,1,130
6,600,3,3,95
4,2700,2,2,100
5,1200,6,1,220
4,1410,4,2,160
4,4025,5,3,800
3,1700,3,2,155
5,3227,5,0,250
4,2400,6,3,600
2,1000,2,1,80
5,1650,5,1,450
3,1200,3,1,120
7,600,7,0,73
4,1200,4,0,125
3,1400,3,3,200
2,815,3,2,160
6,4000,6,,150
3,2238,3,1,140
6,2150,6,3,205
2,1000,2,0,57
3,2900,3,2,285
3,1200,3,2,265
3,600,4,2,110
5,2400,5,2,120
4,1200,4,2,300
6,1045,6,3,160
2,675,3,1,52
5,1200,5,3,120
9,1200,10,,180
2,2400,2,1,160
5,1200,4,1,160
3,1200,3,2,165
4,600,5,2,85
9,4500,9,,166
7,1200,8,2,110
11,1200,6,3,150
3,1625,3,0,80
4,3293 - 5314,,,226
4,2400,4,,500
4,3000,4,0,330
3,1500,3,1,87
4,1500,4,0,110
4,4200,4,1,760
4,2000,4,0,100
5,1250,5,,300
7,1650,9,,345
3,1500,3,2,149
4,4818,4,3,390
5,4355,3,1,350
5,800,5,2,95
1,750,2,0,50
3,780,3,1,62
4,3369 - 3464,6,0,143
5,2400,4,1,225
2,1200,3,1,46.14
4,2360,4,2,600
2,1200,2,0,70
2,1200,2,1,160
2,1200,2,1,60
4,3884,4,3,240
3,3876,3,1,300
4,4750,2,1,120
8,1120,8,,150
5,897,2,1,85
3,1200,4,0,145
2,1200,2,1,100
3,2776,4,2,195
3,1200,3,1,160
4,2000,4,2,320
4,800,4,2,86
4,2400,4,2,525
4,800,5,3,155
4,2360,4,2,150
6,2400,6,3,370
4,1,4,,120
5,1080,6,3,65
6,1500,6,,240
2,1200,2,0,150
3,3100,3,3,250
2,1160,1,0,163
7,2100,7,0,410
3,2651,2,2,225
3,1752,3,2,145
2,650,2,0,59
4,971,2,2,135
4,7000,5,,2050
8,1650,6,2,135
4,1200,4,2,170
4,1200,4,1,140
8,4800,8,,225
4,2400,4,0,550
4,1500,4,3,200
2,1200,2,1,150
4,1600,3,1,165
4,3004,4,2,285
4,600,3,2,78
2,1200,2,1,125
4,1260,4,1,150
3,1500,3,1,121
4,7500,4,2,900
4,2885,3,1,185
9,1200,9,1,145
3,1600,3,2,180
4,4500,5,2,300
5,1200,5,,160
2,4200,1,2,160
4,3000,4,2,140
4,1650,3,1,300
5,3295,4,2,260
4,1150,3,1,110
3,1200,3,1,61.96
1,812,1,1,26
2,1200,2,0,75
3,2400,3,1,165
4,3000,4,3,306
3,3300,4,3,160
2,2080,2,1,150
3,1200,3,3,95.75
1,440,1,0,35
4,10000,4,0,450
4,3400,4,3,530
2,1200,1,1,36
4,2000,5,0,80
3,1500,2,1,130
7,2400,3,3,150
6,2100,6,2,71
5,1200,4,1,98
2,1200,2,1,45
4,3445,5,3,270
4,1200,4,0,130
5,1200,3,1,260
6,1790,5,1,250
5,2500,3,3,200
7,1750,5,2,350
8,2400,9,3,350
8,1200,7,3,130
4,4827,4,3,400
2,1155,2,0,72
8,1200,8,,275
5,1750,5,1,450
3,2200,4,2,105
4,3250,5,1,850
4,3811,3,2,475
3,1095,3,0,215
4,3600,4,0,260
2,1350,2,1,110
6,3300,6,3,165
4,750,4,2,62
8,750,8,,200
2,1200,2,1,45
5,1200,4,3,120
5,2000,4,2,180
6,875,3,1,98
4,910,4,1,140
8,704,8,3,92
3,3600,3,2,150
8,1200,7,0,220
2,580,2,0,95
4,1280,4,1,115
10,1200,7,,240
4,2592,4,2,250
3,4470,3,,700
5,720,4,3,62
3,1200,3,0,85
4,2600,4,,260
2,600,3,2,45
3,1200,2,0,108
4,1200,5,2,92
3,600,3,2,60
2,1200,2,1,45
4,1200,4,2,175
2,3040,2,1,48
4,2775,3,1,165
2,1200,2,1,70
2,1500,2,0,203
9,1800,9,1,180
3,4000,3,1,235
3,1800,2,0,72
4,1350,4,2,85
6,610,4,,95
3,1900,3,1,99
4,1200,4,,243
6,675,6,2,125
4,4000,4,1,650
2,600,3,2,85
5,2500,5,2,120
6,800,3,2,120
6,1200,6,2,300
4,4356,5,1,850
4,1600,4,3,112
3,1705,2,1,290
4,4960,4,3,400
3,1350,3,0,240
2,1110,2,0,65
4,3800,4,2,600
2,1200,3,0,85
2,1200,2,1,34
6,2400,6,2,408
4,1800,5,2,500
2,1290,1,0,225
4,1360,2,2,45
2,900,2,0,48
5,1440,5,1,100
3,2100,3,3,110
9,2000,9,2,150
43,2400,40,0,660
3,2400,3,2,190
3,2400,4,2,200
10,2416,10,,600
6,880,6,2,75
4,1650,4,3,320
4,2100,4,1,95
5,4000,5,2,220
5,1200,4,3,240
4,1200,3,0,135
3,4500,4,2,360
4,1200,4,2,240
6,1850,6,3,150
6,800,6,2,110
3,600,3,1,54
4,2675,4,2,140
3,1408,2,0,55
2,1200,2,1,36.1
3,1163,3,2,180
4,1680,3,0,135
3,9000,4,1,390
4,1150,4,1,110
2,1000,2,0,60
3,1500,3,2,88
5,958,3,1,210
7,1200,7,3,169
4,900,2,1,115
3,1200,3,1,67.77
9,1380,9,0,150
4,5000,4,2,290
7,700,8,0,100
2,1200,2,1,78
2,800,1,0,170
4,1200,2,1,170
3,1200,3,0,140
6,1800,8,1,175
5,2400,5,2,400
4,1750,3,2,215
5,1200,4,0,185
9,750,6,3,112
3,1200,2,0,66
8,12000,9,,1900
5,500,5,2,92
3,640,3,0,45
4,2300,4,,200
5,2400,6,1,450
4,3100,4,2,350
3,1350,3,1,85
3,540,3,1,60
5,2250,5,1,360
4,1632,3,1,128
5,2400,3,2,510
3,900,4,3,155
2,2200,2,0,110
2,1200,2,2,200
9,1200,8,,225
4,800,4,1,180
8,1224,4,0,200
5,2400,5,3,275
6,825,6,,400
3,1200,3,2,72
3,1500,2,0,65
4,750,4,0,85
3,1350,2,2,280
2,1000,1,1,75
8,600,8,,70
5,3200,5,3,140
4,2400,4,2,400
4,1200,4,2,205
2,555,1,0,37
4,4830,5,1,390
8,1200,8,2,220
7,930,4,2,85
3,2111,4,3,120
2,1200,2,0,63
4,1200,4,1,110
6,1200,5,2,108
5,1538,5,2,300
4,1200,2,1,130
7,1200,7,2,140
3,1140,3,1,130
3,946,3,,140
4,1250,3,0,175
6,800,6,2,98
4,600,3,1,95
4,1749,4,0,90
4,720,4,2,48
5,6613,7,,950
3,3339,3,0,250
6,1350,6,3,160
5,4400,4,1,350
3,2790,3,0,950
4,1300,3,0,75
4,900,4,1,75
8,1200,7,3,100
3,600,3,2,100
1,600,2,0,55
5,2400,5,2,325
4,1376,4,1,156
2,1200,2,1,65
4,1100,5,2,121
4,900,4,3,175
2,2800,2,0,650
3,1200,3,3,96.25
1,1200,1,1,125
3,1400,2,1,240
4,2792,4,1,220
1,700,1,0,59
5,1200,5,2,96
4,1200,4,0,90
4,7500,4,,425
4,4000,2,1,899
3,2100,3,2,140
3,1200,3,0,70
4,2675,4,2,290
4,1500,2,0,650
3,660,2,1,100
4,2080,4,2,440
4,600,4,2,122
3,1200,3,2,128
2,1020,2,1,62
2,600,2,0,35
3,462,3,,38
5,1000,5,2,180
6,3Cents,6,3,75
4,1200,3,0,110
3,1200,3,1,165
4,1440,4,0,88
4,1500,4,3,240
1,540,1,1,16.5
8,1470,6,2,300
3,600,4,2,100
1,600,1,1,43
4,1782 - 2000,,,66.165
3,1200,3,1,67
7,621,7,,64
1,750,1,1,30
6,1200,6,3,250
6,840,8,0,120
3,1200,3,1,160
4,2600,3,1,95
2,900,2,0,55
2,1006,2,1,57
4,2396,4,2,325
3,1939,3,0,98
2,600,4,1,110
8,3250,8,1,600
5,1200,7,2,125
4,3401,5,,230
9,1200,9,,175
4,1750,2,1,225
2,1180,2,2,74
3,4510,4,3,200
4,3200,4,2,700
6,2000,6,0,85
3,2556,3,2,169
2,1200,1,1,36
6,800,8,,150
4,1200,4,2,250
4,6000,4,,260
2,1200,2,1,76
1,600,1,1,75
7,1500,6,0,210
5,45Sq. Yards,6,3,400
4,2230,4,1,130
4,2200,5,1,100
2,900,2,0,65
4,4400,5,3,525
5,1200,5,,162
4,920,2,0,90
3,2273,4,3,220
6,3000,4,1,375
4,133.3Sq. Yards,3,2,160
4,4920,5,2,1150
1,627,1,1,30
2,922,2,1,70
3,750,3,2,155
4,2403,5,,360
2,1200,1,0,65
3,600,3,1,90
4,2400,5,3,390
5,2100,5,0,150
4,600,2,2,50
4,2400,5,2,190
5,1200,5,,255
7,600,7,3,93
6,1600,4,1,200
4,1800,4,2,180
2,1200,2,0,53
4,2580 - 2591,4,0,139.5
9,1350,8,2,200
3,1936,3,0,110
5,1200,5,2,300
4,3532,3,3,170
2,1050,2,1,162
2,680,1,1,80
4,1230,4,2,80
8,1500,8,2,150
4,906,3,2,55
7,1200,7,2,169
6,850,7,2,100
3,2400,2,0,480
5,1200,4,,130
3,1500,3,2,138
6,1150,6,2,75
4,4800,4,3,250
3,800,4,0,88
3,1365,3,0,99
4,5000,4,3,465
3,800,2,2,80
4,4100,3,0,300
6,1800,3,,105
3,900,4,2,180
2,900,2,0,55
4,600,5,3,75
3,1200,3,2,57.15
6,2800,4,3,100
8,3500,6,2,120
2,600,2,0,30
1,1200,2,1,45
3,600,2,1,85
5,875,5,3,120
4,1260,4,2,65
3,1500,4,2,239
4,1200,4,1,225
6,4000,6,3,850
3,1200,2,0,66
6,600,4,2,105
5,1240,5,3,300
1,45,1,0,23
3,1350,3,1,250
4,3900,5,1,550
1,1200,1,0,150
4,2420,4,1,190
2,600,1,1,52
4,1800,2,0,280
2,880,2,0,50
3,600,3,1,90
5,1200,5,0,101
4,1200,3,1,210
2,1566,2,0,180
5,2400,5,3,285
4,2360,4,1,650
8,3600,6,1,145
2,600,2,1,120
7,2700,4,1,160
7,600,7,3,110
6,806,3,1,128
8,600,6,2,60
3,1600,3,0,75
4,1550,4,1,120
6,1000,5,3,98
4,1200,4,1,160
4,1660.4,4,2,211
2,800,2,1,175
2,500,2,1,55
4,7000,4,,210
3,2500,3,2,180
3,950,3,2,130
7,2800,7,1,250
4,2100,3,1,125
6,3600,6,2,303
4,2100,4,1,90
3,1200,3,1,150
3,1400,3,2,92
6,2400,6,3,400
8,700,4,,104
6,1000,6,3,275
3,396,2,0,48
4,1200,4,3,179
4,4000,4,3,380
5,600,4,3,76
3,1500,3,3,125
6,1754,6,2,650
3,4273,3,,1100
4,3000,4,0,100
4,3400,4,2,190
5,1200,4,2,115
6,1200,6,3,160
2,1200,2,0,75
6,1500,6,3,150
5,1200,5,2,99
5,1280,3,1,250
3,2200,4,2,160
3,2400,3,1,150
4,3500 - 3600,,,167.5
4,2400,4,2,358
2,1200,1,2,95
7,5400,5,,972
2,1200,2,2,46.13
4,1350,4,2,225
5,1050,4,1,80
2,1200,2,1,46.13
3,1200,4,2,80
4,1200,3,2,120
5,1200,5,1,200
3,600,4,1,81
4,2600,4,,98
5,3600,5,3,180
7,1200,8,,180
4,600,4,0,65
2,2.09Acres,2,0,200
2,1200,1,0,65
4,7000,4,3,550
6,1200,4,1,110
3,3000,5,2,335
4,3000,5,2,815
4,1200,4,1,95
4,750,4,0,88
4,1050,3,2,125
3,2200,3,1,121
1,1200,1,0,69
1,1200,1,0,48
1,1500,1,0,75
5,4050,4,1,600
4,1200,3,1,87
4,900,3,1,51
4,2940,3,2,2250
6,2400,6,1,400
4,1800,5,1,250
3,1800,3,2,90
3,1200,3,1,68.4
2,1290,1,0,77.5
4,1200,2,1,36
2,1200,2,0,75
10,1200,10,,190
5,4000,4,2,1000
4,2500,4,1,450
6,750,4,1,150
5,2400,4,1,310
9,2400,6,,270
3,3800,2,,130
3,800,3,2,120
6,1680,6,1,125
12,2232,6,2,300
9,1800,10,3,185
4,3425,5,2,250
1,3820,1,1,306
5,24Guntha,6,2,550
4,1500,4,3,192
4,1200,4,1,130
3,2400,2,1,152
3,1500,3,0,72
3,1240,3,2,165
3,3000,3,2,400
2,900,2,0,55
3,1500,3,0,83
3,700,3,2,195
4,1355,3,0,135
8,2500,8,3,95
9,1200,7,3,95
4,4003,6,1,525
7,600,6,2,138
6,1000,4,2,150
5,900,5,2,110
3,1200,3,1,56
3,3664,3,2,325
2,690,2,0,42
4,1200,4,1,85
3,2400,3,3,120
4,2500,5,2,350
4,1500,5,3,233
5,1500,4,1,100
4,4100,4,,550
4,1200,4,2,86
5,2500,6,3,500
4,3170,5,2,230
4,900,4,1,150
8,1020,10,0,155
3,1200,3,2,57
5,2500,7,0,125
2,1200,2,0,85
4,2400,4,0,350
4,1350,4,2,140
7,2400,7,1,125
6,2400,7,,460
6,850,6,2,78
4,2403,4,2,270
4,4000,4,2,1100
3,1900,4,1,90
3,600,4,0,99
4,4111,4,1,370
9,600,9,,90
4,3200,4,2,200
